D_PROVINCIA;D_MUNICIPIO;D_ESTACION;F_FECHA;D_HORA;'PM10';'PM25';'NO2';'O3';'SO2'
CADIZ                                                                                                                                                                                                                                                     ;ALGECIRAS                                                                                                                                                                                                                                                 ;ALGECIRAS EPS                                                                                                                                                                                                                                             ;2023/01/23 00:00:00.000000000;00:00                                                                                                                                                                                                                                                     ;8.522;;7.0;58.5;2.0
CADIZ                                                                                                                                                                                                                                                     ;ALGECIRAS                                                                                                                                                                                                                                                 ;E4: RINCONCILLO                                                                                                                                                                                                                                           ;2023/01/23 00:00:00.000000000;00:00                                                                                                                                                                                                                                                     ;;6.561;8.0;;4.0
CADIZ                                                                                                                                                                                                                                                     ;ARCOS DE LA FRONTERA                                                                                                                                                                                                                                      ;ARCOS                                                                                                                                                                                                                                                     ;2023/01/23 00:00:00.000000000;00:00                                                                                                                                                                                                                                                     ;;;4.0;76.625;1.0
CADIZ                                                                                                                                                                                                                                                     ;BARRIOS, LOS                                                                                                                                                                                                                                              ;CORTIJILLOS                                                                                                                                                                                                                                               ;2023/01/23 00:00:00.000000000;00:00                                                                                                                                                                                                                                                     ;;6.271;4.0;69.625;11.0
CADIZ                                                                                                                                                                                                                                                     ;BARRIOS, LOS                                                                                                                                                                                                                                              ;E1: COLEGIO LOS BARRIOS                                                                                                                                                                                                                                   ;2023/01/23 00:00:00.000000000;00:00                                                                                                                                                                                                                                                     ;;;14.0;;0.0
CADIZ                                                                                                                                                                                                                                                     ;BARRIOS, LOS                                                                                                                                                                                                                                              ;E2: ALCORNOCALES                                                                                                                                                                                                                                          ;2023/01/23 00:00:00.000000000;00:00                                                                                                                                                                                                                                                     ;8.189;3.337;;59.571;
CADIZ                                                                                                                                                                                                                                                     ;BARRIOS, LOS                                                                                                                                                                                                                                              ;E5: PALMONES                                                                                                                                                                                                                                              ;2023/01/23 00:00:00.000000000;00:00                                                                                                                                                                                                                                                     ;;;70.0;;6.0
CADIZ                                                                                                                                                                                                                                                     ;BARRIOS, LOS                                                                                                                                                                                                                                              ;LOS BARRIOS                                                                                                                                                                                                                                               ;2023/01/23 00:00:00.000000000;00:00                                                                                                                                                                                                                                                     ;17.622;3.875;7.0;65.5;2.0
CADIZ                                                                                                                                                                                                                                                     ;CÁDIZ                                                                                                                                                                                                                                                     ;Avda. MARCONI                                                                                                                                                                                                                                             ;2023/01/23 00:00:00.000000000;00:00                                                                                                                                                                                                                                                     ;14.848;;4.0;72.75;1.0
CADIZ                                                                                                                                                                                                                                                     ;JEREZ DE LA FRONTERA                                                                                                                                                                                                                                      ;CARTUJA                                                                                                                                                                                                                                                   ;2023/01/23 00:00:00.000000000;00:00                                                                                                                                                                                                                                                     ;10.183;;7.0;60.875;2.0
CADIZ                                                                                                                                                                                                                                                     ;JEREZ DE LA FRONTERA                                                                                                                                                                                                                                      ;JEREZ-CHAPÍN                                                                                                                                                                                                                                              ;2023/01/23 00:00:00.000000000;00:00                                                                                                                                                                                                                                                     ;;;2.0;70.125;4.0
CADIZ                                                                                                                                                                                                                                                     ;LÍNEA DE LA CONCEPCIÓN, LA                                                                                                                                                                                                                                ;E7: EL ZABAL                                                                                                                                                                                                                                              ;2023/01/23 00:00:00.000000000;00:00                                                                                                                                                                                                                                                     ;;;9.0;;6.0
CADIZ                                                                                                                                                                                                                                                     ;LÍNEA DE LA CONCEPCIÓN, LA                                                                                                                                                                                                                                ;LA LÍNEA                                                                                                                                                                                                                                                  ;2023/01/23 00:00:00.000000000;00:00                                                                                                                                                                                                                                                     ;11.159;4.64;6.0;79.5;3.0
CADIZ                                                                                                                                                                                                                                                     ;PRADO DEL REY                                                                                                                                                                                                                                             ;PRADO REY                                                                                                                                                                                                                                                 ;2023/01/23 00:00:00.000000000;00:00                                                                                                                                                                                                                                                     ;;;;78.0;
CADIZ                                                                                                                                                                                                                                                     ;PUERTO REAL                                                                                                                                                                                                                                               ;RÍO SAN PEDRO                                                                                                                                                                                                                                             ;2023/01/23 00:00:00.000000000;00:00                                                                                                                                                                                                                                                     ;8.19;;7.0;70.0;
CADIZ                                                                                                                                                                                                                                                     ;SAN FERNANDO                                                                                                                                                                                                                                              ;SAN FERNANDO                                                                                                                                                                                                                                              ;2023/01/23 00:00:00.000000000;00:00                                                                                                                                                                                                                                                     ;;10.301;4.0;71.375;5.0
CADIZ                                                                                                                                                                                                                                                     ;SAN ROQUE                                                                                                                                                                                                                                                 ;CAMPAMENTO                                                                                                                                                                                                                                                ;2023/01/23 00:00:00.000000000;00:00                                                                                                                                                                                                                                                     ;;7.069;6.0;81.0;2.0
CADIZ                                                                                                                                                                                                                                                     ;SAN ROQUE                                                                                                                                                                                                                                                 ;E. DE HOSTELERÍA                                                                                                                                                                                                                                          ;2023/01/23 00:00:00.000000000;00:00                                                                                                                                                                                                                                                     ;;4.241;3.0;;8.0
CADIZ                                                                                                                                                                                                                                                     ;SAN ROQUE                                                                                                                                                                                                                                                 ;ECONOMATO                                                                                                                                                                                                                                                 ;2023/01/23 00:00:00.000000000;00:00                                                                                                                                                                                                                                                     ;;8.374;3.0;;4.0
CADIZ                                                                                                                                                                                                                                                     ;SAN ROQUE                                                                                                                                                                                                                                                 ;E3: COLEGIO CARTEYA                                                                                                                                                                                                                                       ;2023/01/23 00:00:00.000000000;00:00                                                                                                                                                                                                                                                     ;11.394;;3.0;58.125;5.0
CADIZ                                                                                                                                                                                                                                                     ;SAN ROQUE                                                                                                                                                                                                                                                 ;E6: ESTACIÓN DE FFCC S. ROQUE                                                                                                                                                                                                                             ;2023/01/23 00:00:00.000000000;00:00                                                                                                                                                                                                                                                     ;;;11.0;;12.0
CADIZ                                                                                                                                                                                                                                                     ;SAN ROQUE                                                                                                                                                                                                                                                 ;GUADARRANQUE                                                                                                                                                                                                                                              ;2023/01/23 00:00:00.000000000;00:00                                                                                                                                                                                                                                                     ;;8.265;3.0;57.875;2.0
CADIZ                                                                                                                                                                                                                                                     ;SAN ROQUE                                                                                                                                                                                                                                                 ;MADREVIEJA                                                                                                                                                                                                                                                ;2023/01/23 00:00:00.000000000;00:00                                                                                                                                                                                                                                                     ;;6.054;9.0;;2.0
CADIZ                                                                                                                                                                                                                                                     ;SAN ROQUE                                                                                                                                                                                                                                                 ;PUENTE MAYORGA                                                                                                                                                                                                                                            ;2023/01/23 00:00:00.000000000;00:00                                                                                                                                                                                                                                                     ;;12.85;;;0.0
CADIZ                                                                                                                                                                                                                                                     ;ALGECIRAS                                                                                                                                                                                                                                                 ;ALGECIRAS EPS                                                                                                                                                                                                                                             ;2023/01/23 00:00:00.000000000;01:00                                                                                                                                                                                                                                                     ;8.71;;7.0;57.0;2.0
CADIZ                                                                                                                                                                                                                                                     ;ALGECIRAS                                                                                                                                                                                                                                                 ;E4: RINCONCILLO                                                                                                                                                                                                                                           ;2023/01/23 00:00:00.000000000;01:00                                                                                                                                                                                                                                                     ;;6.561;10.0;;3.0
CADIZ                                                                                                                                                                                                                                                     ;ARCOS DE LA FRONTERA                                                                                                                                                                                                                                      ;ARCOS                                                                                                                                                                                                                                                     ;2023/01/23 00:00:00.000000000;01:00                                                                                                                                                                                                                                                     ;;;2.0;75.25;1.0
CADIZ                                                                                                                                                                                                                                                     ;BARRIOS, LOS                                                                                                                                                                                                                                              ;CORTIJILLOS                                                                                                                                                                                                                                               ;2023/01/23 00:00:00.000000000;01:00                                                                                                                                                                                                                                                     ;;6.416;5.0;66.75;11.0
CADIZ                                                                                                                                                                                                                                                     ;BARRIOS, LOS                                                                                                                                                                                                                                              ;E1: COLEGIO LOS BARRIOS                                                                                                                                                                                                                                   ;2023/01/23 00:00:00.000000000;01:00                                                                                                                                                                                                                                                     ;;;10.0;;0.0
CADIZ                                                                                                                                                                                                                                                     ;BARRIOS, LOS                                                                                                                                                                                                                                              ;E2: ALCORNOCALES                                                                                                                                                                                                                                          ;2023/01/23 00:00:00.000000000;01:00                                                                                                                                                                                                                                                     ;8.226;3.271;2.0;57.429;
CADIZ                                                                                                                                                                                                                                                     ;BARRIOS, LOS                                                                                                                                                                                                                                              ;E5: PALMONES                                                                                                                                                                                                                                              ;2023/01/23 00:00:00.000000000;01:00                                                                                                                                                                                                                                                     ;;;59.0;;6.0
CADIZ                                                                                                                                                                                                                                                     ;BARRIOS, LOS                                                                                                                                                                                                                                              ;LOS BARRIOS                                                                                                                                                                                                                                               ;2023/01/23 00:00:00.000000000;01:00                                                                                                                                                                                                                                                     ;17.576;3.836;7.0;64.0;2.0
CADIZ                                                                                                                                                                                                                                                     ;CÁDIZ                                                                                                                                                                                                                                                     ;Avda. MARCONI                                                                                                                                                                                                                                             ;2023/01/23 00:00:00.000000000;01:00                                                                                                                                                                                                                                                     ;13.865;;6.0;69.875;1.0
CADIZ                                                                                                                                                                                                                                                     ;JEREZ DE LA FRONTERA                                                                                                                                                                                                                                      ;CARTUJA                                                                                                                                                                                                                                                   ;2023/01/23 00:00:00.000000000;01:00                                                                                                                                                                                                                                                     ;8.927;;5.0;58.0;2.0
CADIZ                                                                                                                                                                                                                                                     ;JEREZ DE LA FRONTERA                                                                                                                                                                                                                                      ;JEREZ-CHAPÍN                                                                                                                                                                                                                                              ;2023/01/23 00:00:00.000000000;01:00                                                                                                                                                                                                                                                     ;;;2.0;67.0;4.0
CADIZ                                                                                                                                                                                                                                                     ;LÍNEA DE LA CONCEPCIÓN, LA                                                                                                                                                                                                                                ;E7: EL ZABAL                                                                                                                                                                                                                                              ;2023/01/23 00:00:00.000000000;01:00                                                                                                                                                                                                                                                     ;;;7.0;;7.0
CADIZ                                                                                                                                                                                                                                                     ;LÍNEA DE LA CONCEPCIÓN, LA                                                                                                                                                                                                                                ;LA LÍNEA                                                                                                                                                                                                                                                  ;2023/01/23 00:00:00.000000000;01:00                                                                                                                                                                                                                                                     ;11.677;4.531;4.0;77.25;3.0
CADIZ                                                                                                                                                                                                                                                     ;PRADO DEL REY                                                                                                                                                                                                                                             ;PRADO REY                                                                                                                                                                                                                                                 ;2023/01/23 00:00:00.000000000;01:00                                                                                                                                                                                                                                                     ;;;;77.5;
CADIZ                                                                                                                                                                                                                                                     ;PUERTO REAL                                                                                                                                                                                                                                               ;RÍO SAN PEDRO                                                                                                                                                                                                                                             ;2023/01/23 00:00:00.000000000;01:00                                                                                                                                                                                                                                                     ;7.41;;6.0;65.5;
CADIZ                                                                                                                                                                                                                                                     ;SAN FERNANDO                                                                                                                                                                                                                                              ;SAN FERNANDO                                                                                                                                                                                                                                              ;2023/01/23 00:00:00.000000000;01:00                                                                                                                                                                                                                                                     ;;9.635;5.0;69.5;5.0
CADIZ                                                                                                                                                                                                                                                     ;SAN ROQUE                                                                                                                                                                                                                                                 ;CAMPAMENTO                                                                                                                                                                                                                                                ;2023/01/23 00:00:00.000000000;01:00                                                                                                                                                                                                                                                     ;;6.996;3.0;77.75;2.0
CADIZ                                                                                                                                                                                                                                                     ;SAN ROQUE                                                                                                                                                                                                                                                 ;E. DE HOSTELERÍA                                                                                                                                                                                                                                          ;2023/01/23 00:00:00.000000000;01:00                                                                                                                                                                                                                                                     ;;4.35;3.0;;8.0
CADIZ                                                                                                                                                                                                                                                     ;SAN ROQUE                                                                                                                                                                                                                                                 ;ECONOMATO                                                                                                                                                                                                                                                 ;2023/01/23 00:00:00.000000000;01:00                                                                                                                                                                                                                                                     ;;8.301;2.0;;4.0
